Columna,Tipo,No_nulos,Nulos,%_Nulos,Valores_únicos,Categoría
STYT_est_STYT_ESTU_CURSONOPREGR,float64,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_DEDICACIONINTERNET,object,7,0,0.0,2,Evaluar
STYT_est_STYT_ESTU_DEDICACIONLECTURADIARIA,object,7,0,0.0,4,Evaluar
STYT_est_STYT_ESTU_DEPTO_PRESENTACION,object,7,0,0.0,1,Evaluar
STYT_est_STYT_ESTU_DEPTO_RESIDE,object,7,0,0.0,1,Evaluar
STYT_est_STYT_ESTU_DISC_ASPERGER,float64,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_DISC_AUDITCASTELL,float64,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_DISC_AUDITLSC,float64,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_DISC_ESPAUTISTA,float64,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_DISC_FISICA,object,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_DISC_PSICOSOCIAL,float64,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_DISC_INTELEC,float64,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_DISC_SISTEM,float64,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_DISC_SORDOCEGUERA,float64,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_DISC_VISUALBAJA,float64,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_DISC_VISUALCEGUE,float64,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_DISC_VOZHABLA,float64,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_ESTADOCIVIL,object,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_ESTADOINVESTIGACION,object,7,0,0.0,1,Evaluar
STYT_est_STYT_ESTU_ESTUDIANTE,object,7,0,0.0,1,Evaluar
STYT_est_STYT_ESTU_ETNIA,object,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_EXTERIOR,object,7,0,0.0,1,Evaluar
est_STYT_ESTU_FECHANACIMIENTO,object,7,0,0.0,7,Institucional
STYT_est_STYT_ESTU_GENERO,object,7,0,0.0,2,Evaluar
STYT_est_STYT_ESTU_HORASSEMANATRABAJA,object,7,0,0.0,1,Evaluar
STYT_est_STYT_ESTU_INSE_INDIVIDUAL,object,6,1,14.29,6,Socioeconómico
STYT_est_STYT_ESTU_LIMITA_AUTISMO,float64,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_LIMITA_CONDICIONESPECIAL,float64,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_LIMITA_INVIDENTE,float64,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_LIMITA_MOTRIZ,float64,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_LIMITA_SORDO,float64,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_MCPIO_PRESENTACION,object,7,0,0.0,1,Evaluar
STYT_est_STYT_ESTU_MCPIO_RESIDE,object,7,0,0.0,2,Evaluar
STYT_est_STYT_ESTU_METODO_PRGM,object,7,0,0.0,1,Evaluar
STYT_est_STYT_ESTU_NACIONALIDAD,object,7,0,0.0,1,Evaluar
STYT_est_STYT_ESTU_NSE_IES,float64,7,0,0.0,1,Socioeconómico
STYT_est_STYT_ESTU_NSE_INDIVIDUAL,object,6,1,14.29,3,Socioeconómico
STYT_est_STYT_ESTU_OTROCOLE_TERMINO,object,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_OTROPREGRADO,float64,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_PAIS_RESIDE,object,7,0,0.0,1,Evaluar
STYT_est_STYT_ESTU_PAISDOCUMENTOS11,object,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_PAISDOCUMENTOSB11,object,7,0,0.0,1,Evaluar
STYT_est_STYT_ESTU_PRESENTACIONCASA,object,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_PRESENTACIONSABADO,object,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_PRGM_ACADEMICO,object,7,0,0.0,1,Evaluar
STYT_est_STYT_ESTU_PRGM_CODMUNICIPIO,int64,7,0,0.0,1,Evaluar
STYT_est_STYT_ESTU_PRGM_DEPARTAMENTO,object,7,0,0.0,1,Evaluar
STYT_est_STYT_ESTU_PRGM_MUNICIPIO,object,7,0,0.0,1,Evaluar
STYT_est_STYT_ESTU_PRIVADO_LIBERTAD,object,7,0,0.0,1,Evaluar
STYT_est_STYT_ESTU_SEMESTRECURSA,float64,7,0,0.0,1,Evaluar
STYT_est_STYT_ESTU_SIMULACROTIPOICFES,object,2,5,71.43,1,Excluir
STYT_est_STYT_ESTU_SNIES_PRGMACADEMICO,int64,7,0,0.0,1,Evaluar
STYT_est_STYT_ESTU_TIENEETNIA,object,7,0,0.0,1,Excluir
STYT_est_STYT_ESTU_TIPODOCUMENTOSB11,object,7,0,0.0,2,Evaluar
STYT_est_STYT_ESTU_TIPOREMUNERACION,object,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_TITULOOBTENIDOBACHILLER,object,7,0,0.0,2,Evaluar
STYT_est_STYT_ESTU_UNPOSTGRADO,float64,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_VALORMATRICULAUEXT,float64,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_VALORMATRICULAUNIVERSIDAD,object,7,0,0.0,1,Excluir
STYT_est_STYT_ESTU_VLRULTIMOSEMESCURSADO,object,0,7,100.0,0,Excluir
STYT_est_STYT_ESTU_TIPODOCUMENTO,object,7,0,0.0,2,Evaluar
STYT_ins_STYT_ESTU_INST_CODMUNICIPIO,int64,7,0,0.0,1,Evaluar
STYT_ins_STYT_ESTU_INST_DEPARTAMENTO,object,7,0,0.0,1,Evaluar
STYT_ins_STYT_ESTU_INST_MUNICIPIO,object,7,0,0.0,1,Evaluar
STYT_ins_STYT_ESTU_NIVEL_PRGM_ACADEMICO,object,7,0,0.0,1,Evaluar
STYT_ins_STYT_ESTU_NUCLEO_PREGRADO,object,7,0,0.0,1,Evaluar
STYT_ins_STYT_GRUPOREFERENCIA,object,7,0,0.0,1,Evaluar
STYT_ins_STYT_INST_CARACTER_ACADEMICO,object,7,0,0.0,1,Evaluar
STYT_ins_STYT_INST_COD_INSTITUCION,int64,7,0,0.0,1,Evaluar
STYT_ins_STYT_INST_NOMBRE_INSTITUCION,object,7,0,0.0,1,Evaluar
STYT_ins_STYT_INST_ORIGEN,object,7,0,0.0,1,Evaluar
STYT_res_STYT_MOD_COMPETEN_CIUDADA_PNAL,float64,7,0,0.0,7,Evaluar
STYT_res_STYT_MOD_COMPETEN_CIUDADA_PUNT,float64,7,0,0.0,7,Evaluar
STYT_res_STYT_MOD_COMUNI_ESCRITA_PNAL,float64,7,0,0.0,7,Evaluar
STYT_res_STYT_MOD_COMUNI_ESCRITA_PUNT,float64,7,0,0.0,7,Evaluar
STYT_res_STYT_MOD_INGLES_PNAL,float64,7,0,0.0,7,Evaluar
STYT_res_STYT_MOD_INGLES_PUNT,int64,7,0,0.0,7,Evaluar
STYT_res_STYT_MOD_LECTURA_CRITICA_PNAL,float64,7,0,0.0,6,Evaluar
STYT_res_STYT_MOD_LECTURA_CRITICA_PUNT,float64,7,0,0.0,6,Evaluar
STYT_res_STYT_MOD_RAZONA_CUANTITAT_PUNT,float64,7,0,0.0,7,Evaluar
STYT_res_STYT_MOD_RAZONA_CUANTITATIVO_PNAL,float64,7,0,0.0,7,Evaluar
STYT_res_STYT_PUNT_GLOBAL,float64,7,0,0.0,7,Clave (ID/Resultados)
STYT_soc_STYT_ESTU_PAGOMATRICULA,object,0,7,100.0,0,Excluir
STYT_soc_STYT_ESTU_PAGOMATRICULABECA,object,7,0,0.0,2,Evaluar
STYT_soc_STYT_ESTU_PAGOMATRICULACREDITO,object,7,0,0.0,2,Evaluar
STYT_soc_STYT_ESTU_PAGOMATRICULAEXT,float64,0,7,100.0,0,Excluir
STYT_soc_STYT_ESTU_PAGOMATRICULAPADRES,object,7,0,0.0,1,Evaluar
STYT_soc_STYT_ESTU_PAGOMATRICULAPROPIO,object,7,0,0.0,2,Evaluar
STYT_soc_STYT_FAMI_CABEZAFAMILIA,object,7,0,0.0,1,Socioeconómico
STYT_soc_STYT_FAMI_CUANTOSCOMPARTEBANO,object,0,7,100.0,0,Excluir
STYT_soc_STYT_FAMI_CUARTOSHOGAR,object,7,0,0.0,3,Socioeconómico
STYT_soc_STYT_FAMI_EDUCACIONMADRE,object,7,0,0.0,4,Socioeconómico
STYT_soc_STYT_FAMI_EDUCACIONPADRE,object,7,0,0.0,5,Socioeconómico
STYT_soc_STYT_FAMI_ESTRATOVIVIENDA,object,7,0,0.0,4,Socioeconómico
STYT_soc_STYT_FAMI_HOGARACTUAL,object,7,0,0.0,1,Socioeconómico
STYT_soc_STYT_FAMI_NUMLIBROS,object,7,0,0.0,4,Socioeconómico
STYT_soc_STYT_FAMI_NUMPERSONASACARGO,object,7,0,0.0,1,Socioeconómico
STYT_soc_STYT_FAMI_OCUPACIONMADRE,object,7,0,0.0,5,Socioeconómico
STYT_soc_STYT_FAMI_OCUPACIONPADRE,object,7,0,0.0,6,Socioeconómico
STYT_soc_STYT_FAMI_PERSONASHOGAR,object,7,0,0.0,4,Socioeconómico
STYT_soc_STYT_FAMI_TIENEAUTOMOVIL,object,7,0,0.0,2,Socioeconómico
STYT_soc_STYT_FAMI_TIENECOMPUTADOR,object,7,0,0.0,1,Socioeconómico
STYT_soc_STYT_FAMI_TIENECONSOLAVIDEOJUEGOS,object,0,7,100.0,0,Excluir
STYT_soc_STYT_FAMI_TIENEHORNOMICROOGAS,object,7,0,0.0,2,Socioeconómico
STYT_soc_STYT_FAMI_TIENEINTERNET,object,7,0,0.0,2,Socioeconómico
STYT_soc_STYT_FAMI_TIENELAVADORA,object,7,0,0.0,2,Socioeconómico
STYT_soc_STYT_FAMI_TIENEMOTOCICLETA,object,7,0,0.0,1,Socioeconómico
STYT_soc_STYT_FAMI_TIENESERVICIOTV,object,7,0,0.0,1,Socioeconómico
STYT_soc_STYT_FAMI_TIENETELEVISOR,object,0,7,100.0,0,Excluir
STYT_soc_STYT_FAMI_TRABAJOLABORMADRE,object,0,7,100.0,0,Excluir
STYT_soc_STYT_FAMI_TRABAJOLABORPADRE,object,0,7,100.0,0,Excluir
S11_est_S11_PERIODO_2,object,7,0,0.0,1,Clave (ID/Resultados)
SPRO_est_SPRO_PERIODO_2,object,7,0,0.0,1,Clave (ID/Resultados)
STYT_est_STYT_PERIODO_2,object,7,0,0.0,1,Clave (ID/Resultados)
