,COMPETENCIAS_CIUDADANAS,COMPETENCIAS_CIUDADANAS,COMPETENCIAS_CIUDADANAS,LECTURA_CRITICA,LECTURA_CRITICA,LECTURA_CRITICA,INGLES,INGLES,INGLES,RAZONAMIENTO_CUANTITATIVO,RAZONAMIENTO_CUANTITATIVO,RAZONAMIENTO_CUANTITATIVO
,mean,std,count,mean,std,count,mean,std,count,mean,std,count
S11_est_S11_PERIODO,,,,,,,,,,,,
2014,101.86,31.42,7,109.29,18.99,7,116.86,21.37,7,104.57,18.04,7
